Input Business Name,Input Phone,Input Address,API Name,API Phone,API Address,Name Match,Address Match,Phone Match,Name Similarity,Address Similarity,Phone Similarity,Overall NAP Status
NY Disc Chiropractic (노던 카이로 통증병원),+1 732-462-0049,"154-19 Northern Blvd #2F-5, Flushing, USA",NY Disc Chiropractic (노던 카이로 통증병원),(718) 746-4919,"154-19 Northern Blvd #2F-5, Flushing, NY 11354, USA",Yes,Yes,No,1.0,0.894,0.0,SUCCESS - Name & Address match (Phone missing/different)
Total Life Chiropractic & Wellness,+1 609-161-4252,"961 NJ-10, Randolph, USA",Total Life Chiropractic & Wellness,(973) 252-6040,"961 NJ-10, Randolph, NJ 07869, USA",Yes,No,No,1.0,0.83,0.0,PARTIAL - Only Name matches
Patriot Chiropractic Center,+1 732-661-0330,"3915 Blenheim Blvd STE 22C, Fairfax, USA",Patriot Chiropractic Center,(703) 385-7007,"3915 Blenheim Blvd STE 22C, Fairfax, VA 22030, USA",Yes,Yes,No,1.0,1.0,0.0,SUCCESS - Name & Address match (Phone missing/different)
Natural Health Chiro Center,+1 732-634-5155,"225 Hamilton St, Bound Brook, USA",Natural Health Chiro Center,(732) 271-0275,"225 Hamilton St, Bound Brook, NJ 08805, USA",Yes,Yes,No,1.0,0.873,0.0,SUCCESS - Name & Address match (Phone missing/different)
Chai Kings - Anna Nagar,+91 44 4356 0066,"995a 11th Main Road, Chennai, USA",Chai Kings - Anna Nagar,044 4356 0066,"995a, 11th Main Rd, Ranganathan Garden, Anna Nagar, Chennai, Tamil Nadu 600040, India",Yes,No,Yes,1.0,0.667,1.0,PARTIAL - Name & Phone match (Address different)
Fusion Social,+1 331-252-4044,"4405 Winfield Road, Warrenville, USA",Fusion Social,(331) 252-4044,"4405 Winfield Rd, Warrenville, IL 60555, USA",Yes,Yes,Yes,1.0,0.853,1.0,SUCCESS - All NAP data matches
Affordable Chiropractic,+1 908-754-6888,"736 Mountain Blvd, Watchung, USA",Affordable Chiropractic,(908) 754-6888,"736 Mountain Blvd, Watchung, NJ 07069, USA",Yes,Yes,Yes,1.0,1.0,1.0,SUCCESS - All NAP data matches
Solutions Chiropractic,+1 609-083-5376,"50A US-9, Morganville, USA",Solutions Chiropractic,(732) 727-0690,"50A US-9, Morganville, NJ 07751, USA",Yes,No,No,1.0,0.842,0.0,PARTIAL - Only Name matches
Hands On Health testpractic  LLC,+1 732-389-8000,USA,Hands on Health Physical Therapy and Wellness LLC,(504) 481-9688,"100 W Harrison Ave Suite 201, New Orleans, LA 70124, USA",No,Yes,No,0.575,1.0,0.0,FAIL - Significant NAP inconsistencies
Dynamic testpractic LLC,+1 732-545-5999,USA,Dynamic Analytics & Test Inc,(703) 351-0088,"2107 Wilson Blvd, Arlington, VA 22201, USA",No,Yes,No,0.531,1.0,0.0,FAIL - Significant NAP inconsistencies
Strive2Move testpractor,+1 908-547-0729,USA,,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
Time For A Bagel - Master Do not Delete or Alter,+1 973-984-5885,"680 Speedwell Avenue, Morris Plains, USA",Time For A Bagel,(973) 984-5885,"680 Speedwell Ave, Morris Plains, NJ 07950, USA",Yes,Yes,Yes,0.516,0.854,1.0,SUCCESS - All NAP data matches
Sparrow Coffee,+1 306-664-2080,"536 2nd Avenue North #120, Saskatoon, USA",Sparrow Coffee,(306) 664-2080,"536 2nd Ave N #120, Saskatoon, SK S7K 2C5, Canada",Yes,No,Yes,1.0,0.723,1.0,PARTIAL - Name & Phone match (Address different)
Custom Domain Form Site - Do Not Delete Without Consulting Badger,3062279834,"1 Aspen Pl, Humboldt, USA",,,,No,No,No,0.0,0.0,0.0,FAIL - No results found
John D Wood & Co. Estate Agents Primrose Hill,+44 20 3151 9463,"166 Regent's Park Road, London, USA",John D Wood & Co. Estate Agents Primrose Hill,020 3151 9463,"166 Regent's Park Rd, London NW1 8XN, UK",Yes,No,Yes,1.0,0.817,1.0,PARTIAL - Name & Phone match (Address different)
Nucor Steel Kankakee Inc,+1 815-937-3131,"1 Nucor Way, Bourbonnais, USA",Nucor Steel Kankakee Inc,(815) 937-3131,"1 Nucor Way, Bourbonnais, IL 60914, USA",Yes,Yes,Yes,1.0,0.857,1.0,SUCCESS - All NAP data matches
McDonald's,+1 814-943-6677,"407 East Plank Road, Altoona, USA",McDonald's,(814) 943-6677,"407 E Plank Rd, Altoona, PA 16602, USA",Yes,No,Yes,1.0,0.788,1.0,PARTIAL - Name & Phone match (Address different)
